behavior,counts,mouse,group
2,60,750,silvestre
2,60,750,silvestre
2,120,750,silvestre
2,60,750,silvestre
2,144,750,silvestre
2,168,750,silvestre
2,180,750,silvestre
2,156,750,silvestre
2,408,750,silvestre
2,132,750,silvestre
2,60,750,silvestre
2,312,750,silvestre
2,60,750,silvestre
2,120,755,silvestre
2,336,755,silvestre
2,48,755,silvestre
2,96,755,silvestre
2,60,755,silvestre
2,132,755,silvestre
2,144,755,silvestre
2,84,755,silvestre
2,384,755,silvestre
2,204,755,silvestre
2,96,755,silvestre
2,336,755,silvestre
2,108,755,silvestre
2,144,755,silvestre
2,216,755,silvestre
2,48,755,silvestre
2,84,755,silvestre
2,24,755,silvestre
2,72,755,silvestre
2,156,755,silvestre
2,60,755,silvestre
2,216,755,silvestre
2,120,755,silvestre
2,144,755,silvestre
2,24,755,silvestre
2,72,755,silvestre
2,96,755,silvestre
2,108,755,silvestre
2,156,755,silvestre
2,468,755,silvestre
2,228,755,silvestre
2,36,755,silvestre
2,456,755,silvestre
2,96,755,silvestre
2,60,755,silvestre
2,84,755,silvestre
2,48,755,silvestre
2,60,755,silvestre
2,204,755,silvestre
2,312,755,silvestre
2,264,755,silvestre
2,36,755,silvestre
2,84,755,silvestre
2,360,755,silvestre
2,324,755,silvestre
2,60,755,silvestre
2,276,755,silvestre
2,276,755,silvestre
2,132,755,silvestre
2,108,755,silvestre
2,348,755,silvestre
2,156,755,silvestre
2,384,755,silvestre
2,384,755,silvestre
2,36,755,silvestre
2,240,755,silvestre
2,36,755,silvestre
2,48,755,silvestre
2,72,755,silvestre
2,60,755,silvestre
2,180,755,silvestre
2,48,755,silvestre
2,156,755,silvestre
2,168,755,silvestre
2,396,755,silvestre
2,264,755,silvestre
2,648,755,silvestre
2,192,755,silvestre
2,276,755,silvestre
2,288,755,silvestre
2,96,755,silvestre
2,240,755,silvestre
2,600,755,silvestre
2,456,755,silvestre
2,228,755,silvestre
2,192,755,silvestre
2,96,755,silvestre
2,120,755,silvestre
2,276,755,silvestre
2,48,755,silvestre
2,228,755,silvestre
2,204,755,silvestre
2,120,755,silvestre
2,384,755,silvestre
2,264,755,silvestre
2,264,755,silvestre
2,360,755,silvestre
2,384,755,silvestre
2,168,755,silvestre
2,36,755,silvestre
2,36,755,silvestre
2,36,755,silvestre
2,132,755,silvestre
2,264,755,silvestre
2,312,755,silvestre
2,312,755,silvestre
2,48,755,silvestre
2,144,755,silvestre
2,192,755,silvestre
2,156,755,silvestre
2,96,755,silvestre
2,1284,755,silvestre
2,144,755,silvestre
2,132,755,silvestre
2,288,755,silvestre
2,360,755,silvestre
2,132,755,silvestre
2,156,755,silvestre
2,372,755,silvestre
2,108,755,silvestre
2,1236,755,silvestre
2,204,755,silvestre
2,48,755,silvestre
2,216,755,silvestre
2,228,755,silvestre
2,48,755,silvestre
2,72,755,silvestre
2,324,755,silvestre
2,132,755,silvestre
2,276,755,silvestre
2,276,755,silvestre
2,168,755,silvestre
2,276,755,silvestre
2,552,755,silvestre
2,552,755,silvestre
2,216,755,silvestre
2,60,755,silvestre
2,360,755,silvestre
2,168,755,silvestre
2,204,755,silvestre
2,432,755,silvestre
2,24,755,silvestre
2,384,755,silvestre
2,204,755,silvestre
2,72,755,silvestre
2,228,755,silvestre
2,72,755,silvestre
2,444,755,silvestre
2,72,755,silvestre
2,504,755,silvestre
2,36,755,silvestre
2,420,755,silvestre
2,84,755,silvestre
2,24,755,silvestre
2,276,755,silvestre
2,300,755,silvestre
2,552,755,silvestre
2,60,755,silvestre
2,192,755,silvestre
2,84,755,silvestre
2,312,755,silvestre
2,384,755,silvestre
2,108,755,silvestre
2,252,755,silvestre
2,684,755,silvestre
2,384,755,silvestre
2,312,755,silvestre
2,276,109,txcb
2,336,109,txcb
2,456,109,txcb
2,60,109,txcb
2,96,109,txcb
2,792,109,txcb
2,96,109,txcb
2,252,109,txcb
2,192,109,txcb
2,1020,109,txcb
2,96,109,txcb
2,444,109,txcb
2,120,109,txcb
2,132,109,txcb
2,204,109,txcb
2,108,109,txcb
2,72,109,txcb
2,684,109,txcb
2,744,109,txcb
2,252,109,txcb
2,528,109,txcb
2,144,109,txcb
2,312,109,txcb
2,96,109,txcb
2,756,109,txcb
2,204,109,txcb
2,252,109,txcb
2,444,109,txcb
2,108,109,txcb
2,348,109,txcb
2,96,109,txcb
2,864,109,txcb
2,204,109,txcb
2,120,109,txcb
2,120,109,txcb
2,252,109,txcb
2,204,109,txcb
2,372,109,txcb
2,432,109,txcb
2,264,109,txcb
2,228,109,txcb
2,168,109,txcb
2,60,109,txcb
2,108,109,txcb
2,156,109,txcb
2,36,109,txcb
2,108,109,txcb
