behavior,counts,mouse,group
2,84,160,txcb
2,180,160,txcb
2,120,160,txcb
2,312,160,txcb
2,24,160,txcb
2,168,160,txcb
2,180,160,txcb
2,96,160,txcb
2,276,160,txcb
2,36,160,txcb
2,60,160,txcb
2,108,160,txcb
2,132,160,txcb
2,132,160,txcb
2,72,160,txcb
2,312,160,txcb
2,48,160,txcb
2,336,160,txcb
2,24,160,txcb
2,360,160,txcb
2,180,160,txcb
2,216,160,txcb
2,72,160,txcb
2,96,160,txcb
2,180,160,txcb
2,96,160,txcb
2,156,160,txcb
2,252,160,txcb
2,204,160,txcb
2,396,160,txcb
2,60,160,txcb
2,792,160,txcb
2,312,160,txcb
2,252,160,txcb
2,264,160,txcb
2,60,160,txcb
2,276,160,txcb
2,528,160,txcb
2,144,160,txcb
2,180,160,txcb
2,804,160,txcb
2,132,160,txcb
2,312,160,txcb
2,276,160,txcb
2,504,160,txcb
2,60,160,txcb
2,444,160,txcb
2,60,160,txcb
2,84,786,txcb
2,60,786,txcb
2,168,786,txcb
2,228,786,txcb
2,192,786,txcb
2,156,786,txcb
2,96,786,txcb
2,336,786,txcb
2,108,786,txcb
2,84,786,txcb
2,48,786,txcb
2,72,786,txcb
2,72,786,txcb
2,96,786,txcb
2,156,786,txcb
2,72,786,txcb
2,144,786,txcb
2,840,786,txcb
2,300,786,txcb
2,108,786,txcb
2,60,786,txcb
2,192,786,txcb
2,204,786,txcb
2,336,786,txcb
2,348,786,txcb
2,336,786,txcb
2,108,786,txcb
2,72,786,txcb
2,156,786,txcb
2,120,786,txcb
2,60,786,txcb
2,72,786,txcb
2,72,786,txcb
2,204,786,txcb
2,96,786,txcb
2,192,786,txcb
2,156,786,txcb
2,228,786,txcb
2,96,786,txcb
2,324,786,txcb
2,252,786,txcb
2,120,786,txcb
2,372,786,txcb
2,216,786,txcb
2,132,786,txcb
2,168,786,txcb
2,240,786,txcb
2,12,786,txcb
2,168,88,txcb
2,432,88,txcb
2,432,88,txcb
2,84,88,txcb
2,84,88,txcb
2,276,88,txcb
2,240,88,txcb
2,168,88,txcb
2,168,88,txcb
2,456,88,txcb
2,60,88,txcb
2,192,88,txcb
2,276,88,txcb
2,108,88,txcb
